2024-05-04 23:09:05 CPU Usage: 15.6 | Memory Usage: 22.79 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.34, 2.00, 0.94 | Process Count: 279 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.634/1.882/2.125/0.184 Avg:ms Max:
2024-05-04 23:10:03 CPU Usage: 70.6 | Memory Usage: 22.88 | I/O Usage (read write): 3.30 9.04 | Load Average:  2.16, 2.15, 1.06 | Process Count: 279 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.518/1.647/1.830/0.130 Avg:ms Max:
2024-05-04 23:10:08 CPU Usage: 21.9 | Memory Usage: 23.03 | I/O Usage (read write): 3.30 9.04 | Load Average:  2.06, 2.13, 1.06 | Process Count: 279 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.477/1.559/1.641/0.058 Avg:ms Max:
2024-05-04 23:10:13 CPU Usage: 26.5 | Memory Usage: 23.24 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.90, 2.09, 1.05 | Process Count: 279 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.688/1.832/2.031/0.112 Avg:ms Max:
2024-05-04 23:10:18 CPU Usage: 32.3 | Memory Usage: 23.48 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.99, 2.11, 1.06 | Process Count: 278 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.325/1.563/1.768/0.184 Avg:ms Max:
2024-05-04 23:10:24 CPU Usage: 22.6 | Memory Usage: 23.68 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.83, 2.07, 1.05 | Process Count: 278 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.453/1.551/1.680/0.086 Avg:ms Max:
2024-05-04 23:10:29 CPU Usage: 50 | Memory Usage: 23.96 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.68, 2.04, 1.05 | Process Count: 278 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.427/1.629/1.968/0.182 Avg:ms Max:
2024-05-04 23:10:34 CPU Usage: 52.9 | Memory Usage: 24.06 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.63, 2.02, 1.05 | Process Count: 278 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.277/1.647/2.084/0.258 Avg:ms Max:
2024-05-04 23:10:39 CPU Usage: 25.7 | Memory Usage: 24.19 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.58, 2.00, 1.05 | Process Count: 278 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.326/1.610/1.939/0.238 Avg:ms Max:
2024-05-04 23:10:45 CPU Usage: 68.6 | Memory Usage: 24.30 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.45, 1.97, 1.04 | Process Count: 278 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.381/1.481/1.624/0.085 Avg:ms Max:
2024-05-04 23:10:50 CPU Usage: 64.7 | Memory Usage: 24.45 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.33, 1.94, 1.04 | Process Count: 278 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.490/1.736/1.963/0.171 Avg:ms Max:
2024-05-04 23:10:55 CPU Usage: 29.4 | Memory Usage: 24.66 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.39, 1.94, 1.04 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.435/1.671/1.836/0.131 Avg:ms Max:
2024-05-04 23:11:00 CPU Usage: 29 | Memory Usage: 24.89 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.28, 1.91, 1.04 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.414/1.558/1.890/0.173 Avg:ms Max:
2024-05-04 23:11:05 CPU Usage: 48.5 | Memory Usage: 25.14 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.41, 1.92, 1.05 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.548/1.708/1.909/0.163 Avg:ms Max:
2024-05-04 23:11:11 CPU Usage: 17.2 | Memory Usage: 25.26 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.30, 1.89, 1.04 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.682/1.817/1.916/0.088 Avg:ms Max:
2024-05-04 23:11:16 CPU Usage: 19.4 | Memory Usage: 25.32 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.28, 1.88, 1.04 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.177/1.592/1.805/0.229 Avg:ms Max:
2024-05-04 23:11:21 CPU Usage: 21.9 | Memory Usage: 25.41 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.17, 1.85, 1.03 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.297/1.534/1.862/0.200 Avg:ms Max:
2024-05-04 23:11:26 CPU Usage: 25.7 | Memory Usage: 25.50 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.16, 1.83, 1.03 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.615/1.759/1.901/0.091 Avg:ms Max:
2024-05-04 23:11:32 CPU Usage: 26.5 | Memory Usage: 25.58 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.07, 1.80, 1.03 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.354/1.642/1.812/0.165 Avg:ms Max:
2024-05-04 23:11:37 CPU Usage: 64.5 | Memory Usage: 25.61 | I/O Usage (read write): 3.30 9.04 | Load Average:  0.98, 1.77, 1.02 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.469/1.606/1.712/0.097 Avg:ms Max:
2024-05-04 23:11:42 CPU Usage: 65.6 | Memory Usage: 25.61 | I/O Usage (read write): 3.30 9.04 | Load Average:  0.90, 1.74, 1.02 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.450/1.641/1.984/0.184 Avg:ms Max:
2024-05-04 23:11:47 CPU Usage: 19.4 | Memory Usage: 25.63 | I/O Usage (read write): 3.30 9.04 | Load Average:  0.83, 1.71, 1.01 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.297/1.580/1.937/0.233 Avg:ms Max:
2024-05-04 23:11:53 CPU Usage: 16.1 | Memory Usage: 25.66 | I/O Usage (read write): 3.30 9.04 | Load Average:  0.70, 1.65, 1.00 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.364/1.707/1.997/0.229 Avg:ms Max:
2024-05-04 23:11:58 CPU Usage: 100 | Memory Usage: 25.85 | I/O Usage (read write): 3.30 9.04 | Load Average:  0.97, 1.69, 1.01 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.421/1.515/1.648/0.087 Avg:ms Max:
2024-05-04 23:12:03 CPU Usage: 20.6 | Memory Usage: 25.85 | I/O Usage (read write): 3.30 9.04 | Load Average:  0.97, 1.68, 1.01 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.321/1.516/1.771/0.151 Avg:ms Max:
2024-05-04 23:12:08 CPU Usage: 62.9 | Memory Usage: 25.86 | I/O Usage (read write): 3.30 9.04 | Load Average:  0.89, 1.65, 1.01 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.270/1.576/1.759/0.176 Avg:ms Max:
2024-05-04 23:12:13 CPU Usage: 18.2 | Memory Usage: 25.87 | I/O Usage (read write): 3.30 9.04 | Load Average:  0.82, 1.63, 1.00 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.466/1.634/1.896/0.149 Avg:ms Max:
2024-05-04 23:12:19 CPU Usage: 20.6 | Memory Usage: 25.87 | I/O Usage (read write): 3.30 9.04 | Load Average:  0.75, 1.60, 1.00 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.367/1.606/1.852/0.165 Avg:ms Max:
2024-05-04 23:12:24 CPU Usage: 12.9 | Memory Usage: 25.89 | I/O Usage (read write): 3.30 9.04 | Load Average:  0.69, 1.57, 0.99 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.204/1.585/1.937/0.233 Avg:ms Max:
2024-05-04 23:12:29 CPU Usage: 14.7 | Memory Usage: 25.89 | I/O Usage (read write): 3.30 9.04 | Load Average:  0.64, 1.54, 0.99 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.522/1.737/1.916/0.143 Avg:ms Max:
2024-05-04 23:12:34 CPU Usage: 18.2 | Memory Usage: 25.89 | I/O Usage (read write): 3.30 9.04 | Load Average:  0.59, 1.52, 0.98 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.459/1.747/2.050/0.192 Avg:ms Max:
2024-05-04 23:12:40 CPU Usage: 17.6 | Memory Usage: 25.91 | I/O Usage (read write): 3.30 9.04 | Load Average:  0.78, 1.54, 0.99 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.591/1.724/1.815/0.091 Avg:ms Max:
2024-05-04 23:12:45 CPU Usage: 9.7 | Memory Usage: 25.92 | I/O Usage (read write): 3.30 9.04 | Load Average:  0.72, 1.52, 0.99 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.216/1.532/1.809/0.198 Avg:ms Max:
2024-05-04 23:12:50 CPU Usage: 12.5 | Memory Usage: 25.93 | I/O Usage (read write): 3.30 9.04 | Load Average:  0.82, 1.53, 0.99 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.580/1.672/1.802/0.073 Avg:ms Max:
2024-05-04 23:12:55 CPU Usage: 28.6 | Memory Usage: 25.97 | I/O Usage (read write): 3.30 9.04 | Load Average:  0.75, 1.50, 0.99 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.195/1.650/2.042/0.328 Avg:ms Max:
2024-05-04 23:13:00 CPU Usage: 21.2 | Memory Usage: 26.02 | I/O Usage (read write): 3.30 9.04 | Load Average:  0.69, 1.48, 0.98 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.717/1.815/1.967/0.092 Avg:ms Max:
2024-05-04 23:13:06 CPU Usage: 16.1 | Memory Usage: 26.25 | I/O Usage (read write): 3.30 9.04 | Load Average:  0.72, 1.47, 0.98 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.466/1.562/1.691/0.072 Avg:ms Max:
2024-05-04 23:13:11 CPU Usage: 20.6 | Memory Usage: 26.45 | I/O Usage (read write): 3.30 9.04 | Load Average:  0.66, 1.44, 0.98 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.438/1.725/2.060/0.213 Avg:ms Max:
2024-05-04 23:13:16 CPU Usage: 18.2 | Memory Usage: 26.65 | I/O Usage (read write): 3.30 9.04 | Load Average:  0.61, 1.42, 0.97 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.587/1.661/1.787/0.074 Avg:ms Max:
2024-05-04 23:13:21 CPU Usage: 12.9 | Memory Usage: 26.85 | I/O Usage (read write): 3.30 9.04 | Load Average:  0.56, 1.39, 0.97 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.495/1.556/1.636/0.063 Avg:ms Max:
2024-05-04 23:13:27 CPU Usage: 20.6 | Memory Usage: 27.07 | I/O Usage (read write): 3.30 9.04 | Load Average:  0.51, 1.37, 0.96 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.692/1.821/2.014/0.117 Avg:ms Max:
2024-05-04 23:13:32 CPU Usage: 17.6 | Memory Usage: 27.10 | I/O Usage (read write): 3.30 9.04 | Load Average:  0.95, 1.45, 0.99 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.557/1.775/1.963/0.177 Avg:ms Max:
2024-05-04 23:13:37 CPU Usage: 51.4 | Memory Usage: 27.10 | I/O Usage (read write): 3.30 9.04 | Load Average:  0.88, 1.42, 0.98 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.479/1.649/1.758/0.103 Avg:ms Max:
2024-05-04 23:13:42 CPU Usage: 35.5 | Memory Usage: 27.11 | I/O Usage (read write): 3.30 9.04 | Load Average:  0.89, 1.42, 0.98 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.391/1.597/1.825/0.166 Avg:ms Max:
2024-05-04 23:13:47 CPU Usage: 25.8 | Memory Usage: 27.11 | I/O Usage (read write): 3.30 9.04 | Load Average:  0.82, 1.39, 0.98 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.542/1.629/1.714/0.063 Avg:ms Max:
2024-05-04 23:13:53 CPU Usage: 18.2 | Memory Usage: 27.10 | I/O Usage (read write): 3.30 9.04 | Load Average:  0.77, 1.36, 0.97 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.355/1.597/1.687/0.123 Avg:ms Max:
2024-05-04 23:13:58 CPU Usage: 12.5 | Memory Usage: 27.11 | I/O Usage (read write): 3.30 9.04 | Load Average:  0.71, 1.34, 0.97 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.380/1.662/1.955/0.233 Avg:ms Max:
2024-05-04 23:14:03 CPU Usage: 9.7 | Memory Usage: 27.11 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.93, 1.58, 1.05 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.340/1.638/1.823/0.172 Avg:ms Max:
2024-05-04 23:14:08 CPU Usage: 35.3 | Memory Usage: 27.11 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.78, 1.56, 1.04 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.399/1.572/1.814/0.143 Avg:ms Max:
2024-05-04 23:14:14 CPU Usage: 62.5 | Memory Usage: 27.12 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.72, 1.55, 1.04 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.585/1.748/2.054/0.168 Avg:ms Max:
2024-05-04 23:14:19 CPU Usage: 18.2 | Memory Usage: 27.11 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.66, 1.54, 1.04 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.503/1.735/2.194/0.238 Avg:ms Max:
2024-05-04 23:14:24 CPU Usage: 12.1 | Memory Usage: 27.11 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.52, 1.51, 1.04 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.395/1.617/1.919/0.193 Avg:ms Max:
2024-05-04 23:14:29 CPU Usage: 12.5 | Memory Usage: 27.12 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.40, 1.49, 1.03 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.462/1.698/2.159/0.251 Avg:ms Max:
2024-05-04 23:14:34 CPU Usage: 14.7 | Memory Usage: 27.12 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.37, 1.48, 1.03 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.614/1.720/1.831/0.073 Avg:ms Max:
2024-05-04 23:14:40 CPU Usage: 12.5 | Memory Usage: 27.14 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.26, 1.45, 1.02 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.394/1.633/1.760/0.130 Avg:ms Max:
2024-05-04 23:14:45 CPU Usage: 15.2 | Memory Usage: 27.15 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.16, 1.43, 1.02 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.554/1.709/1.944/0.132 Avg:ms Max:
2024-05-04 23:14:50 CPU Usage: 60.6 | Memory Usage: 27.14 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.15, 1.42, 1.02 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.372/1.556/1.821/0.168 Avg:ms Max:
2024-05-04 23:14:55 CPU Usage: 9.4 | Memory Usage: 27.14 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.05, 1.40, 1.01 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.530/1.636/1.816/0.125 Avg:ms Max:
2024-05-04 23:15:01 CPU Usage: 63.6 | Memory Usage: 27.15 | I/O Usage (read write): 3.30 9.04 | Load Average:  0.97, 1.37, 1.01 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.340/1.633/1.845/0.193 Avg:ms Max:
2024-05-04 23:15:06 CPU Usage: 15.2 | Memory Usage: 27.15 | I/O Usage (read write): 3.30 9.04 | Load Average:  0.89, 1.35, 1.00 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.456/1.661/1.943/0.167 Avg:ms Max:
2024-05-04 23:15:11 CPU Usage: 37.5 | Memory Usage: 27.15 | I/O Usage (read write): 3.30 9.04 | Load Average:  0.90, 1.35, 1.00 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.365/1.614/1.769/0.157 Avg:ms Max:
2024-05-04 23:15:16 CPU Usage: 12.1 | Memory Usage: 27.15 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.07, 1.37, 1.01 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.621/1.757/1.877/0.103 Avg:ms Max:
2024-05-04 23:15:21 CPU Usage: 59.4 | Memory Usage: 27.15 | I/O Usage (read write): 3.30 9.04 | Load Average:  0.98, 1.35, 1.00 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.652/1.916/2.217/0.183 Avg:ms Max:
2024-05-04 23:15:27 CPU Usage: 9.1 | Memory Usage: 27.15 | I/O Usage (read write): 3.30 9.04 | Load Average:  0.98, 1.35, 1.00 | Process Count: 270 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.501/1.765/2.008/0.167 Avg:ms Max:
2024-05-04 23:15:32 CPU Usage: 17.6 | Memory Usage: 27.14 | I/O Usage (read write): 3.30 9.04 | Load Average:  0.99, 1.34, 1.00 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.407/1.651/1.866/0.155 Avg:ms Max:
2024-05-04 23:15:37 CPU Usage: 9.7 | Memory Usage: 27.20 | I/O Usage (read write): 3.30 9.04 | Load Average:  0.99, 1.33, 1.00 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.545/1.693/1.930/0.164 Avg:ms Max:
2024-05-04 23:15:42 CPU Usage: 94.1 | Memory Usage: 27.22 | I/O Usage (read write): 3.30 9.04 | Load Average:  0.91, 1.31, 1.00 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.722/1.838/1.909/0.069 Avg:ms Max:
2024-05-04 23:15:48 CPU Usage: 72.2 | Memory Usage: 27.22 | I/O Usage (read write): 3.30 9.04 | Load Average:  0.92, 1.31, 1.00 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.281/1.686/1.959/0.222 Avg:ms Max:
2024-05-04 23:15:53 CPU Usage: 36.4 | Memory Usage: 28.13 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.00, 1.31, 1.00 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.364/1.652/2.008/0.235 Avg:ms Max:
2024-05-04 23:15:58 CPU Usage: 30.3 | Memory Usage: 28.20 | I/O Usage (read write): 3.30 9.04 | Load Average:  0.92, 1.29, 1.00 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.646/1.849/1.941/0.106 Avg:ms Max:
2024-05-04 23:16:03 CPU Usage: 75 | Memory Usage: 29.02 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.16, 1.33, 1.01 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.520/1.822/1.959/0.158 Avg:ms Max:
2024-05-04 23:16:09 CPU Usage: 41.2 | Memory Usage: 29.72 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.15, 1.33, 1.01 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.570/2.228/3.775/0.796 Avg:ms Max:
2024-05-04 23:16:14 CPU Usage: 75 | Memory Usage: 29.95 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.14, 1.32, 1.01 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.547/1.804/2.046/0.159 Avg:ms Max:
2024-05-04 23:16:19 CPU Usage: 40 | Memory Usage: 30.61 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.13, 1.32, 1.01 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.535/1.806/2.028/0.195 Avg:ms Max:
2024-05-04 23:16:24 CPU Usage: 38.2 | Memory Usage: 31.11 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.04, 1.30, 1.01 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.713/1.860/2.000/0.100 Avg:ms Max:
2024-05-04 23:16:29 CPU Usage: 37.1 | Memory Usage: 31.17 | I/O Usage (read write): 3.30 9.04 | Load Average:  0.95, 1.27, 1.00 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.673/1.883/2.079/0.130 Avg:ms Max:
2024-05-04 23:16:35 CPU Usage: 40 | Memory Usage: 31.24 | I/O Usage (read write): 3.30 9.04 | Load Average:  0.88, 1.25, 1.00 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.613/1.775/2.030/0.147 Avg:ms Max:
2024-05-04 23:16:40 CPU Usage: 33.3 | Memory Usage: 31.27 | I/O Usage (read write): 3.30 9.04 | Load Average:  0.89, 1.25, 1.00 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.246/1.641/1.937/0.230 Avg:ms Max:
2024-05-04 23:16:45 CPU Usage: 32.3 | Memory Usage: 31.30 | I/O Usage (read write): 3.30 9.04 | Load Average:  0.98, 1.26, 1.00 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.587/1.833/2.035/0.175 Avg:ms Max:
2024-05-04 23:16:50 CPU Usage: 42.4 | Memory Usage: 31.31 | I/O Usage (read write): 3.30 9.04 | Load Average:  0.98, 1.26, 1.00 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.732/1.937/2.129/0.129 Avg:ms Max:
2024-05-04 23:16:56 CPU Usage: 65.6 | Memory Usage: 31.34 | I/O Usage (read write): 3.30 9.04 | Load Average:  0.90, 1.24, 1.00 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.426/1.674/1.854/0.170 Avg:ms Max:
2024-05-04 23:17:01 CPU Usage: 42.4 | Memory Usage: 31.35 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.23, 1.30, 1.02 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.529/1.779/2.047/0.169 Avg:ms Max:
2024-05-04 23:17:06 CPU Usage: 64.5 | Memory Usage: 31.36 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.13, 1.28, 1.01 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.487/1.665/1.894/0.157 Avg:ms Max:
2024-05-04 23:17:11 CPU Usage: 51.6 | Memory Usage: 31.36 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.20, 1.29, 1.02 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.773/1.957/2.067/0.126 Avg:ms Max:
2024-05-04 23:17:16 CPU Usage: 35.5 | Memory Usage: 31.37 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.10, 1.27, 1.01 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.715/1.891/2.097/0.134 Avg:ms Max:
2024-05-04 23:17:22 CPU Usage: 39.4 | Memory Usage: 31.37 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.09, 1.26, 1.01 | Process Count: 271 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.681/1.854/2.019/0.130 Avg:ms Max:
