2024-05-04 18:53:03 CPU Usage: 18.2% | Memory Usage: 22.88% | I/O Usage (read write): 3.29 9.05 | Load Average:  6.07, 2.95, 1.28 | Process Count: 279 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.768/1.972/2.119/0.131 Avg:ms Max:
2024-05-04 18:54:01 CPU Usage: 36.1% | Memory Usage: 23.31% | I/O Usage (read write): 3.29 9.05 | Load Average:  3.71, 2.80, 1.33 | Process Count: 279 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.237/1.605/1.808/0.211 Avg:ms Max:
2024-05-04 18:54:06 CPU Usage: 51.5% | Memory Usage: 23.59% | I/O Usage (read write): 3.29 9.05 | Load Average:  3.42, 2.76, 1.32 | Process Count: 280 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.331/1.485/1.757/0.167 Avg:ms Max:
2024-05-04 18:54:11 CPU Usage: 25% | Memory Usage: 23.79% | I/O Usage (read write): 3.29 9.05 | Load Average:  3.30, 2.74, 1.33 | Process Count: 279 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.429/1.647/1.887/0.145 Avg:ms Max:
2024-05-04 18:54:16 CPU Usage: 29.4% | Memory Usage: 23.81% | I/O Usage (read write): 3.29 9.05 | Load Average:  3.44, 2.78, 1.35 | Process Count: 279 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.287/1.483/1.676/0.142 Avg:ms Max:
2024-05-04 18:54:22 CPU Usage: 21.9% | Memory Usage: 23.81% | I/O Usage (read write): 3.29 9.05 | Load Average:  3.24, 2.75, 1.34 | Process Count: 279 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.232/1.519/1.745/0.198 Avg:ms Max:
2024-05-04 18:54:27 CPU Usage: 29.4% | Memory Usage: 23.82% | I/O Usage (read write): 3.29 9.05 | Load Average:  3.14, 2.74, 1.35 | Process Count: 279 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.427/1.577/1.897/0.171 Avg:ms Max:
2024-05-04 18:54:32 CPU Usage: 25.8% | Memory Usage: 23.84% | I/O Usage (read write): 3.29 9.05 | Load Average:  3.21, 2.76, 1.36 | Process Count: 279 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.461/1.593/1.741/0.112 Avg:ms Max:
2024-05-04 18:54:37 CPU Usage: 36.7% | Memory Usage: 23.85% | I/O Usage (read write): 3.29 9.05 | Load Average:  3.04, 2.73, 1.36 | Process Count: 279 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.400/1.569/1.754/0.136 Avg:ms Max:
2024-05-04 18:54:42 CPU Usage: 63.6% | Memory Usage: 23.85% | I/O Usage (read write): 3.29 9.05 | Load Average:  2.95, 2.72, 1.36 | Process Count: 279 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.387/1.664/1.845/0.174 Avg:ms Max:
2024-05-04 18:54:48 CPU Usage: 27.3% | Memory Usage: 23.87% | I/O Usage (read write): 3.29 9.05 | Load Average:  3.04, 2.74, 1.38 | Process Count: 279 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.336/1.622/1.975/0.205 Avg:ms Max:
2024-05-04 18:54:53 CPU Usage: 77.8% | Memory Usage: 23.86% | I/O Usage (read write): 3.29 9.05 | Load Average:  2.79, 2.69, 1.37 | Process Count: 279 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.306/1.534/1.725/0.143 Avg:ms Max:
2024-05-04 18:54:58 CPU Usage: 33.3% | Memory Usage: 23.89% | I/O Usage (read write): 3.29 9.05 | Load Average:  2.65, 2.66, 1.37 | Process Count: 279 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.325/1.485/1.646/0.105 Avg:ms Max:
2024-05-04 18:55:03 CPU Usage: 27.3% | Memory Usage: 24.06% | I/O Usage (read write): 3.29 9.05 | Load Average:  2.52, 2.64, 1.37 | Process Count: 279 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.241/1.585/1.879/0.277 Avg:ms Max:
2024-05-04 18:55:09 CPU Usage: 27.3% | Memory Usage: 24.50% | I/O Usage (read write): 3.29 9.05 | Load Average:  2.31, 2.59, 1.36 | Process Count: 279 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.294/1.526/1.801/0.162 Avg:ms Max:
2024-05-04 18:55:14 CPU Usage: 35.3% | Memory Usage: 25.01% | I/O Usage (read write): 3.29 9.05 | Load Average:  2.45, 2.62, 1.37 | Process Count: 279 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.304/1.495/1.679/0.131 Avg:ms Max:
2024-05-04 18:55:19 CPU Usage: 32.4% | Memory Usage: 25.60% | I/O Usage (read write): 3.29 9.05 | Load Average:  2.25, 2.57, 1.36 | Process Count: 279 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.504/1.639/1.888/0.136 Avg:ms Max:
2024-05-04 18:55:24 CPU Usage: 26.5% | Memory Usage: 26.00% | I/O Usage (read write): 3.29 9.05 | Load Average:  2.15, 2.55, 1.36 | Process Count: 279 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.311/1.539/2.033/0.253 Avg:ms Max:
2024-05-04 18:55:30 CPU Usage: 29.4% | Memory Usage: 26.22% | I/O Usage (read write): 3.29 9.05 | Load Average:  1.98, 2.50, 1.35 | Process Count: 279 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.256/1.567/1.875/0.212 Avg:ms Max:
2024-05-04 18:55:35 CPU Usage: 32.4% | Memory Usage: 26.47% | I/O Usage (read write): 3.29 9.05 | Load Average:  2.06, 2.51, 1.36 | Process Count: 279 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.299/1.518/1.640/0.123 Avg:ms Max:
2024-05-04 18:55:40 CPU Usage: 18.8% | Memory Usage: 26.72% | I/O Usage (read write): 3.29 9.05 | Load Average:  2.14, 2.52, 1.37 | Process Count: 279 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.241/1.506/1.761/0.172 Avg:ms Max:
2024-05-04 18:55:45 CPU Usage: 53.1% | Memory Usage: 26.90% | I/O Usage (read write): 3.29 9.05 | Load Average:  1.81, 2.44, 1.36 | Process Count: 279 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.262/1.383/1.645/0.133 Avg:ms Max:
2024-05-04 18:55:50 CPU Usage: 15.6% | Memory Usage: 27.06% | I/O Usage (read write): 3.29 9.05 | Load Average:  1.82, 2.43, 1.36 | Process Count: 279 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.338/1.504/1.762/0.146 Avg:ms Max:
2024-05-04 18:55:56 CPU Usage: 21.2% | Memory Usage: 27.10% | I/O Usage (read write): 3.29 9.05 | Load Average:  1.84, 2.42, 1.37 | Process Count: 280 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.249/1.378/1.677/0.156 Avg:ms Max:
2024-05-04 18:56:01 CPU Usage: 61.3% | Memory Usage: 27.13% | I/O Usage (read write): 3.29 9.05 | Load Average:  1.69, 2.38, 1.36 | Process Count: 279 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.328/1.546/1.630/0.113 Avg:ms Max:
2024-05-04 18:56:06 CPU Usage: 21.2% | Memory Usage: 27.13% | I/O Usage (read write): 3.29 9.05 | Load Average:  1.64, 2.36, 1.36 | Process Count: 279 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.252/1.552/1.769/0.205 Avg:ms Max:
2024-05-04 18:56:11 CPU Usage: 16.7% | Memory Usage: 27.14% | I/O Usage (read write): 3.29 9.05 | Load Average:  1.50, 2.32, 1.35 | Process Count: 279 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.464/1.642/1.868/0.154 Avg:ms Max:
2024-05-04 18:56:17 CPU Usage: 60.6% | Memory Usage: 27.14% | I/O Usage (read write): 3.29 9.05 | Load Average:  1.38, 2.28, 1.34 | Process Count: 280 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.323/1.582/1.764/0.167 Avg:ms Max:
2024-05-04 18:56:22 CPU Usage: 31.2% | Memory Usage: 27.14% | I/O Usage (read write): 3.29 9.05 | Load Average:  1.27, 2.24, 1.33 | Process Count: 279 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.350/1.639/2.101/0.308 Avg:ms Max:
2024-05-04 18:56:27 CPU Usage: 85.3% | Memory Usage: 27.14% | I/O Usage (read write): 3.29 9.05 | Load Average:  1.17, 2.20, 1.33 | Process Count: 280 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.592/1.725/1.933/0.115 Avg:ms Max:
2024-05-04 18:56:32 CPU Usage: 25% | Memory Usage: 27.15% | I/O Usage (read write): 3.29 9.05 | Load Average:  1.16, 2.18, 1.32 | Process Count: 280 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.515/1.676/1.846/0.110 Avg:ms Max:
2024-05-04 18:56:38 CPU Usage: 61.5% | Memory Usage: 27.16% | I/O Usage (read write): 3.29 9.05 | Load Average:  1.06, 2.15, 1.32 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.488/1.684/1.918/0.140 Avg:ms Max:
2024-05-04 18:56:43 CPU Usage: 21.2% | Memory Usage: 27.16% | I/O Usage (read write): 3.29 9.05 | Load Average:  1.30, 2.18, 1.33 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.497/1.564/1.631/0.045 Avg:ms Max:
2024-05-04 18:56:48 CPU Usage: 20.6% | Memory Usage: 27.17% | I/O Usage (read write): 3.29 9.05 | Load Average:  1.27, 2.16, 1.33 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.213/1.515/1.850/0.222 Avg:ms Max:
2024-05-04 18:56:53 CPU Usage: 13.3% | Memory Usage: 27.18% | I/O Usage (read write): 3.29 9.05 | Load Average:  1.17, 2.12, 1.32 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.361/2.130/4.039/0.975 Avg:ms Max:
2024-05-04 18:56:59 CPU Usage: 18.2% | Memory Usage: 27.18% | I/O Usage (read write): 3.29 9.05 | Load Average:  1.08, 2.09, 1.31 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.457/1.666/1.925/0.162 Avg:ms Max:
2024-05-04 18:57:04 CPU Usage: 17.6% | Memory Usage: 27.19% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.99, 2.05, 1.31 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.408/1.605/1.915/0.194 Avg:ms Max:
2024-05-04 18:57:09 CPU Usage: 15.6% | Memory Usage: 27.19% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.91, 2.02, 1.30 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.467/1.744/2.083/0.213 Avg:ms Max:
2024-05-04 18:57:14 CPU Usage: 27.3% | Memory Usage: 27.19% | I/O Usage (read write): 3.29 9.05 | Load Average:  1.00, 2.02, 1.30 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.665/1.825/2.032/0.118 Avg:ms Max:
2024-05-04 18:57:19 CPU Usage: 18.2% | Memory Usage: 27.20% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.92, 1.98, 1.30 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.283/1.519/1.656/0.141 Avg:ms Max:
2024-05-04 18:57:25 CPU Usage: 20.6% | Memory Usage: 27.20% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.85, 1.95, 1.29 | Process Count: 272 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.427/1.545/1.705/0.102 Avg:ms Max:
2024-05-04 18:57:30 CPU Usage: 9.7% | Memory Usage: 27.20% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.78, 1.92, 1.28 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.591/1.749/1.875/0.092 Avg:ms Max:
2024-05-04 18:57:35 CPU Usage: 0% | Memory Usage: 27.16% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.72, 1.89, 1.27 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.597/1.720/1.974/0.140 Avg:ms Max:
2024-05-04 18:57:40 CPU Usage: 6.5% | Memory Usage: 27.17% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.66, 1.85, 1.27 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.365/1.666/1.830/0.159 Avg:ms Max:
2024-05-04 18:57:45 CPU Usage: 12.1% | Memory Usage: 27.18% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.56, 1.79, 1.25 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.402/1.703/1.859/0.159 Avg:ms Max:
2024-05-04 18:57:51 CPU Usage: 12.1% | Memory Usage: 27.19% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.59, 1.78, 1.25 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.568/1.774/2.090/0.177 Avg:ms Max:
2024-05-04 18:57:56 CPU Usage: 8.8% | Memory Usage: 27.19% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.54, 1.75, 1.25 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.414/1.793/2.108/0.242 Avg:ms Max:
2024-05-04 18:58:01 CPU Usage: 6.1% | Memory Usage: 27.22% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.50, 1.72, 1.24 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.518/1.722/1.837/0.111 Avg:ms Max:
2024-05-04 18:58:06 CPU Usage: 15.2% | Memory Usage: 27.23% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.46, 1.69, 1.23 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.541/1.724/1.960/0.146 Avg:ms Max:
2024-05-04 18:58:12 CPU Usage: 12.1% | Memory Usage: 27.23% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.42, 1.66, 1.22 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.277/1.592/2.069/0.287 Avg:ms Max:
2024-05-04 18:58:17 CPU Usage: 18.8% | Memory Usage: 27.23% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.39, 1.64, 1.22 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.505/1.774/2.026/0.203 Avg:ms Max:
2024-05-04 18:58:22 CPU Usage: 6.5% | Memory Usage: 27.25% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.52, 1.64, 1.22 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.616/1.811/2.104/0.187 Avg:ms Max:
2024-05-04 18:58:27 CPU Usage: 6.5% | Memory Usage: 27.25% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.56, 1.63, 1.22 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.513/1.739/2.012/0.164 Avg:ms Max:
2024-05-04 18:58:32 CPU Usage: 3.4% | Memory Usage: 27.26% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.51, 1.60, 1.21 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.553/1.815/2.020/0.154 Avg:ms Max:
2024-05-04 18:58:38 CPU Usage: 6.2% | Memory Usage: 27.27% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.47, 1.58, 1.21 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.652/1.810/2.067/0.148 Avg:ms Max:
2024-05-04 18:58:43 CPU Usage: 12.1% | Memory Usage: 27.29% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.43, 1.55, 1.20 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.349/1.669/1.857/0.174 Avg:ms Max:
2024-05-04 18:58:48 CPU Usage: 14.7% | Memory Usage: 27.31% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.40, 1.52, 1.19 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.312/1.675/1.932/0.202 Avg:ms Max:
2024-05-04 18:58:53 CPU Usage: 15.2% | Memory Usage: 27.33% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.37, 1.50, 1.19 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.380/1.576/1.810/0.153 Avg:ms Max:
2024-05-04 18:58:58 CPU Usage: 12.1% | Memory Usage: 27.33% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.34, 1.47, 1.18 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.350/1.670/2.173/0.318 Avg:ms Max:
2024-05-04 18:59:04 CPU Usage: 17.1% | Memory Usage: 27.33% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.47, 1.48, 1.18 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.319/1.699/1.952/0.223 Avg:ms Max:
2024-05-04 18:59:09 CPU Usage: 3.2% | Memory Usage: 27.33% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.43, 1.46, 1.18 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.616/1.720/1.973/0.131 Avg:ms Max:
2024-05-04 18:59:14 CPU Usage: 3.2% | Memory Usage: 27.34% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.40, 1.43, 1.17 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.644/1.830/2.108/0.153 Avg:ms Max:
2024-05-04 18:59:19 CPU Usage: 53.1% | Memory Usage: 27.34% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.36, 1.41, 1.17 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.462/1.594/1.808/0.124 Avg:ms Max:
2024-05-04 18:59:25 CPU Usage: 54.5% | Memory Usage: 27.34% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.34, 1.39, 1.16 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.581/1.675/1.799/0.082 Avg:ms Max:
2024-05-04 18:59:30 CPU Usage: 74.3% | Memory Usage: 27.34% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.31, 1.36, 1.15 | Process Count: 274 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.633/1.743/1.802/0.057 Avg:ms Max:
2024-05-04 18:59:35 CPU Usage: 15.2% | Memory Usage: 27.36% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.28, 1.34, 1.15 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.335/1.576/1.833/0.190 Avg:ms Max:
2024-05-04 18:59:40 CPU Usage: 41.9% | Memory Usage: 27.36% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.26, 1.32, 1.14 | Process Count: 274 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.464/1.748/2.230/0.257 Avg:ms Max:
2024-05-04 18:59:45 CPU Usage: 45.2% | Memory Usage: 27.37% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.37, 1.31, 1.14 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.677/1.972/2.343/0.217 Avg:ms Max:
2024-05-04 18:59:51 CPU Usage: 27.3% | Memory Usage: 27.38% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.34, 1.29, 1.13 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.651/1.792/2.180/0.195 Avg:ms Max:
2024-05-04 18:59:56 CPU Usage: 6.2% | Memory Usage: 27.39% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.31, 1.26, 1.13 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.801/1.987/2.168/0.145 Avg:ms Max:
2024-05-04 19:00:01 CPU Usage: 9.1% | Memory Usage: 27.40% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.29, 1.24, 1.12 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.506/1.757/2.017/0.208 Avg:ms Max:
2024-05-04 19:00:06 CPU Usage: 6.5% | Memory Usage: 27.42% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.26, 1.22, 1.11 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.579/1.720/1.923/0.126 Avg:ms Max:
2024-05-04 19:00:11 CPU Usage: 9.4% | Memory Usage: 27.42% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.24, 1.20, 1.11 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.420/1.754/2.088/0.242 Avg:ms Max:
2024-05-04 19:00:17 CPU Usage: 9.4% | Memory Usage: 27.43% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.38, 1.21, 1.11 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.513/1.822/2.029/0.177 Avg:ms Max:
2024-05-04 19:00:22 CPU Usage: 15.6% | Memory Usage: 27.44% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.35, 1.19, 1.11 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.486/1.709/2.070/0.215 Avg:ms Max:
2024-05-04 19:00:27 CPU Usage: 9.4% | Memory Usage: 27.44% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.32, 1.17, 1.10 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.824/1.947/2.107/0.102 Avg:ms Max:
2024-05-04 19:00:32 CPU Usage: 9.4% | Memory Usage: 27.45% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.30, 1.15, 1.09 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.609/1.907/2.112/0.189 Avg:ms Max:
2024-05-04 19:00:38 CPU Usage: 6.1% | Memory Usage: 27.44% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.27, 1.14, 1.09 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.611/1.787/1.999/0.148 Avg:ms Max:
2024-05-04 19:00:43 CPU Usage: 18.8% | Memory Usage: 27.44% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.25, 1.12, 1.08 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.729/1.981/2.194/0.168 Avg:ms Max:
2024-05-04 19:00:48 CPU Usage: 9.4% | Memory Usage: 27.45% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.31, 1.11, 1.08 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.678/1.792/1.945/0.111 Avg:ms Max:
2024-05-04 19:00:53 CPU Usage: 12.1% | Memory Usage: 27.44% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.29, 1.10, 1.07 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.705/1.901/2.088/0.129 Avg:ms Max:
2024-05-04 19:00:58 CPU Usage: 14.7% | Memory Usage: 27.45% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.34, 1.09, 1.07 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.365/1.809/2.013/0.233 Avg:ms Max:
2024-05-04 19:01:04 CPU Usage: 9.4% | Memory Usage: 27.45% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.32, 1.08, 1.07 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.335/1.598/2.055/0.262 Avg:ms Max:
2024-05-04 19:01:09 CPU Usage: 14.7% | Memory Usage: 27.46% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.29, 1.06, 1.06 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.596/1.751/1.954/0.153 Avg:ms Max:
2024-05-04 19:01:14 CPU Usage: 9.1% | Memory Usage: 27.46% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.35, 1.06, 1.06 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.655/1.859/2.150/0.184 Avg:ms Max:
2024-05-04 19:01:19 CPU Usage: 3.2% | Memory Usage: 27.46% | I/O Usage (read write): 3.29 9.05 | Load Average:  0.32, 1.04, 1.06 | Process Count: 273 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.580/1.809/2.070/0.166 Avg:ms Max:
